explosion
exploser
déflagration
explosif
détonation
implosion
effondrement
bombe
provoquer
éclatement
embrasement
cataclysmique
détonateur
mélinite
catastrophe
pyrotechnique
volatiliser
lapilli
thermonucléaire
imploser
choc
dépressurisation
éclater
incendie
dégât
conflagration
kilotonne
éruption
attentat
spectaculaire
secousse
fumerolle
mégatonne
cataclysme
écroulement
surpression
irruption
dévastateur
fumée
étincelle
percuter
bombardement
pyroclastique
destruction
commotion
commotionner
lahar
chute
embraser
effondrer
dynamite
apparition
ignition
projectile
flambée
détoner
fulgurant
obus
décombres
dégazage
dévastation
kamikaze
blessé
feu
déflagrer
nitroglycérine
débris
déclencher
déchaînement
effusif
ébranlement
carambolage
incendier
fracas
collision
asphyxie
détruire
soudaineté
inflammable
poudrière
gigantesque
pulvériser
désintégrer
mitraillage
lance-flammes
émeute
ravager
grièvement
crépitement
enflammer
dévaster
vulcanien
endommager
lacrymogène
inflammabilité
heurt
comburant
fulminate
tremblement
violent
brutalement
phénomène
crashe
incontrôlé
éboulement
grondement
bouillonnement
flamber
asphyxier
fusillade
engendrer
retardement
panique
survenir
éjection
causer
incendiaire
foudroyant
apocalyptique
accident
fumigène
hypernova
évacuer
éruptif
explosible
électrocution
brusque
désastre
raz-de-marée
plinien
téphra
électrocuter
extinction
artificier
accélération
ouragan
surarmement
crise
accidentellement
phosgène
suffocation
désamorçage
cratère
refluer
emballement
black-out
boom
dégoupiller
strombolien
carboniser
crash
éjecter
subit
bouleversement
fragmentation
cheddite
brasier
dynamitage
affaissement
pilonner
déraillement
effervescence
météore
pyrophorique
incandescent
pilonnage
pétard
fuite
recrudescence
séisme
marteau-piqueur
échauffourée
énorme
fusée
supernova
imminence
déferlement
inhabitable
grenade
brusquement
largage
lance-roquettes
subitement
propergol
éventrer
statoréacteur
disparition
accidentel
gazomètre
krach
canonnade
produire
noyage
corium
hypocentre
fissurer
atomisation
caillassage
brutal
andésitique
bombarder
dégazer
retardant
drame
gigantisme
écrasement
sidération
afflux
incontrôlable
pyromane
décollage
paroxysme
crépiter
grisou
flamme
big-bang
ébranler
calciner
bulle
détonant
ypérite
irrespirable
trinitrotoluène
montée
multiplication
torchère
destructeur
stagnation
propager
soudain
mortellement
déverser
foudroiement
bouleverser
aggravant
mégapole
intoxiquer
surchauffe
flammèche
accalmie
camion-citerne
impacteur
raréfier
shrapnel
hydrocarbure
multiplier
anthrax
engloutir
sifflement
inimaginable
dramatique
coulée
surgir
chuter
aggravation
décrue
affrontement
effritement
assourdissant
dégonflement
amplifier
explosivité
grêlon
épicentre
instabilité
expansion
irréversiblement
pyromanie
course-poursuite
magma
écraser
étouffement
antisismique
gaz
superluminique
implosif
inquiétant
accroissement
millier
déflagrant
anéantir
cyclone
balistique
fulmicoton
sonoluminescence
soudainement
missile
grandissant
volcanologue
pétarade
hypersonique
ampleur
fusant
tentaculaire
foudroyer
sursaturer
entraîner
proliférer
catapulter
éclair
ininflammable
ralentissement
postindustriel
danger
sonique
envolée
exploseur
liquéfaction
meurtrier
précipiter
pétrole
brûler
acétylène
fracture
victime
brûlure
disparaître
récession
asphyxiant
vapeur
intifada
cracking
retournement
trépidation
